entity_id,state,last_changed
sensor.esp32_bme680_humidity,46.6,2025-03-04T00:26:26.170Z
sensor.esp32_bme680_humidity,unavailable,2025-03-04T00:28:47.468Z
sensor.esp32_bme680_humidity,36.9,2025-03-04T02:08:12.651Z
sensor.esp32_bme680_humidity,36.6,2025-03-04T02:08:23.549Z
sensor.esp32_bme680_humidity,36.5,2025-03-04T02:09:03.546Z
sensor.esp32_bme680_humidity,36.4,2025-03-04T02:09:43.561Z
sensor.esp32_bme680_humidity,36.5,2025-03-04T02:10:03.574Z
sensor.esp32_bme680_humidity,36.8,2025-03-04T02:10:43.581Z
sensor.esp32_bme680_humidity,36.6,2025-03-04T02:11:03.597Z
sensor.esp32_bme680_humidity,36.4,2025-03-04T02:11:23.579Z
sensor.esp32_bme680_humidity,36.3,2025-03-04T02:12:03.585Z
sensor.esp32_bme680_humidity,36.2,2025-03-04T02:12:43.584Z
sensor.esp32_bme680_humidity,36.0,2025-03-04T02:13:23.576Z
sensor.esp32_bme680_humidity,unavailable,2025-03-04T02:15:22.625Z
sensor.esp32_bme680_humidity,36.8,2025-03-04T02:43:58.332Z
sensor.esp32_bme680_humidity,36.3,2025-03-04T02:44:00.250Z
sensor.esp32_bme680_humidity,35.8,2025-03-04T02:44:20.336Z
sensor.esp32_bme680_humidity,35.9,2025-03-04T02:45:00.231Z
sensor.esp32_bme680_humidity,36.0,2025-03-04T02:45:20.235Z
sensor.esp32_bme680_humidity,36.1,2025-03-04T02:45:40.241Z
sensor.esp32_bme680_humidity,36.2,2025-03-04T02:46:20.259Z
sensor.esp32_bme680_humidity,36.9,2025-03-04T02:47:20.240Z
sensor.esp32_bme680_humidity,unavailable,2025-03-04T02:49:27.997Z
sensor.esp32_bme680_gas_resistance,unavailable,2025-03-02T08:00:00.000Z
sensor.esp32_bme680_gas_resistance,unknown,2025-03-04T00:09:37.355Z
sensor.esp32_bme680_gas_resistance,3980.9,2025-03-04T00:09:46.163Z
sensor.esp32_bme680_gas_resistance,5653.1,2025-03-04T00:10:06.168Z
sensor.esp32_bme680_gas_resistance,7439.8,2025-03-04T00:10:26.136Z
sensor.esp32_bme680_gas_resistance,9376.0,2025-03-04T00:10:46.207Z
sensor.esp32_bme680_gas_resistance,11377.1,2025-03-04T00:11:06.178Z
sensor.esp32_bme680_gas_resistance,13336.0,2025-03-04T00:11:26.158Z
sensor.esp32_bme680_gas_resistance,15238.4,2025-03-04T00:11:46.323Z
sensor.esp32_bme680_gas_resistance,17105.8,2025-03-04T00:12:06.182Z
sensor.esp32_bme680_gas_resistance,18913.7,2025-03-04T00:12:26.152Z
sensor.esp32_bme680_gas_resistance,20628.1,2025-03-04T00:12:46.226Z
sensor.esp32_bme680_gas_resistance,22179.6,2025-03-04T00:13:06.192Z
sensor.esp32_bme680_gas_resistance,23966.2,2025-03-04T00:13:26.172Z
sensor.esp32_bme680_gas_resistance,25404.2,2025-03-04T00:13:46.135Z
sensor.esp32_bme680_gas_resistance,26664.7,2025-03-04T00:14:06.303Z
sensor.esp32_bme680_gas_resistance,28075.6,2025-03-04T00:14:26.440Z
sensor.esp32_bme680_gas_resistance,29028.3,2025-03-04T00:14:46.157Z
sensor.esp32_bme680_gas_resistance,30199.5,2025-03-04T00:15:06.125Z
sensor.esp32_bme680_gas_resistance,31659.3,2025-03-04T00:15:26.193Z
sensor.esp32_bme680_gas_resistance,32798.8,2025-03-04T00:15:46.246Z
sensor.esp32_bme680_gas_resistance,33885.9,2025-03-04T00:16:06.133Z
sensor.esp32_bme680_gas_resistance,34959.9,2025-03-04T00:16:26.261Z
sensor.esp32_bme680_gas_resistance,35857.1,2025-03-04T00:16:46.169Z
sensor.esp32_bme680_gas_resistance,36769.2,2025-03-04T00:17:06.249Z
sensor.esp32_bme680_gas_resistance,37763.0,2025-03-04T00:17:26.216Z
sensor.esp32_bme680_gas_resistance,38812.0,2025-03-04T00:17:46.195Z
sensor.esp32_bme680_gas_resistance,39469.8,2025-03-04T00:18:06.227Z
sensor.esp32_bme680_gas_resistance,40460.3,2025-03-04T00:18:26.201Z
sensor.esp32_bme680_gas_resistance,41216.2,2025-03-04T00:18:46.211Z
sensor.esp32_bme680_gas_resistance,41916.9,2025-03-04T00:19:06.144Z
sensor.esp32_bme680_gas_resistance,42816.1,2025-03-04T00:19:26.228Z
sensor.esp32_bme680_gas_resistance,43572.7,2025-03-04T00:19:46.179Z
sensor.esp32_bme680_gas_resistance,44216.2,2025-03-04T00:20:06.249Z
sensor.esp32_bme680_gas_resistance,45023.5,2025-03-04T00:20:26.218Z
sensor.esp32_bme680_gas_resistance,45364.6,2025-03-04T00:20:46.167Z
sensor.esp32_bme680_gas_resistance,46368.3,2025-03-04T00:21:06.164Z
sensor.esp32_bme680_gas_resistance,46574.4,2025-03-04T00:21:46.235Z
