entity_id,state,last_changed
sensor.esp32_bme680_humidity,35.7,2025-01-28T02:35:58.981Z
sensor.esp32_bme680_humidity,35.9,2025-01-28T02:36:18.949Z
sensor.esp32_bme680_humidity,35.4,2025-01-28T02:36:39.019Z
sensor.esp32_bme680_humidity,35.2,2025-01-28T02:36:58.986Z
sensor.esp32_bme680_humidity,35.4,2025-01-28T02:38:18.977Z
sensor.esp32_bme680_humidity,35.2,2025-01-28T02:38:59.000Z
sensor.esp32_bme680_humidity,35.3,2025-01-28T02:39:18.977Z
sensor.esp32_bme680_humidity,35.6,2025-01-28T02:39:39.036Z
sensor.esp32_bme680_humidity,35.7,2025-01-28T02:39:59.003Z
sensor.esp32_bme680_humidity,35.3,2025-01-28T02:40:18.970Z
sensor.esp32_bme680_humidity,35.5,2025-01-28T02:40:59.011Z
sensor.esp32_bme680_humidity,35.3,2025-01-28T02:41:38.946Z
sensor.esp32_bme680_humidity,35.2,2025-01-28T02:43:18.986Z
sensor.esp32_bme680_humidity,35.3,2025-01-28T02:44:38.960Z
sensor.esp32_bme680_humidity,35.2,2025-01-28T02:45:18.997Z
sensor.esp32_bme680_humidity,35.3,2025-01-28T02:46:19.018Z
sensor.esp32_bme680_humidity,35.1,2025-01-28T02:48:38.982Z
sensor.esp32_bme680_gas_resistance,28322.2,2025-01-26T08:00:00.000Z
sensor.esp32_bme680_gas_resistance,unavailable,2025-01-28T00:18:47.898Z
sensor.esp32_bme680_gas_resistance,unknown,2025-01-28T02:15:13.204Z
sensor.esp32_bme680_gas_resistance,3798.0,2025-01-28T02:15:18.935Z
sensor.esp32_bme680_gas_resistance,5016.1,2025-01-28T02:15:38.952Z
sensor.esp32_bme680_gas_resistance,6412.4,2025-01-28T02:15:58.922Z
sensor.esp32_bme680_gas_resistance,7853.6,2025-01-28T02:16:18.929Z
sensor.esp32_bme680_gas_resistance,9401.3,2025-01-28T02:16:39.010Z
sensor.esp32_bme680_gas_resistance,11040.5,2025-01-28T02:16:58.976Z
sensor.esp32_bme680_gas_resistance,12477.7,2025-01-28T02:17:18.926Z
sensor.esp32_bme680_gas_resistance,14080.4,2025-01-28T02:17:39.012Z
sensor.esp32_bme680_gas_resistance,15532.3,2025-01-28T02:17:58.996Z
sensor.esp32_bme680_gas_resistance,16790.3,2025-01-28T02:18:18.953Z
sensor.esp32_bme680_gas_resistance,18270.1,2025-01-28T02:18:39.023Z
sensor.esp32_bme680_gas_resistance,19279.5,2025-01-28T02:18:58.968Z
sensor.esp32_bme680_gas_resistance,20506.9,2025-01-28T02:19:18.950Z
sensor.esp32_bme680_gas_resistance,22062.7,2025-01-28T02:19:39.115Z
sensor.esp32_bme680_gas_resistance,22957.8,2025-01-28T02:19:58.977Z
sensor.esp32_bme680_gas_resistance,24090.2,2025-01-28T02:20:18.958Z
